mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.3455861409505208,0.05729071985159747,0.19837490717569986,0.019866663817893555,5,450,"{'clf__max_depth': 5, 'clf__n_estimators': 450}",0.819327731092437,0.8312236286919831,0.8396624472573839,0.8300712690139346,0.008341507457605524,5
0.4233362674713135,0.05031746439110986,0.16784588495890299,0.024309029463098507,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.8319327731092437,0.8227848101265823,0.8185654008438819,0.8244276613599025,0.005579479094641249,20
0.5590504010518392,0.060804186453288396,0.16420269012451172,0.02279430216719508,6,150,"{'clf__max_depth': 6, 'clf__n_estimators': 150}",0.8277310924369747,0.8143459915611815,0.8396624472573839,0.8272465104185134,0.010341078185370143,8
0.7780655225118002,0.07599759813401098,0.1446700096130371,0.008001430570581348,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.819327731092437,0.810126582278481,0.8312236286919831,0.8202259806876336,0.00863622143821469,27
0.8165229956309,0.09637870508943729,0.15718507766723633,0.013284626123057324,6,250,"{'clf__max_depth': 6, 'clf__n_estimators': 250}",0.8277310924369747,0.810126582278481,0.8396624472573839,0.8258400406576133,0.012131883273346746,13
0.9624512990315756,0.028139188686836694,0.1898810068766276,0.019269716630882096,6,300,"{'clf__max_depth': 6, 'clf__n_estimators': 300}",0.8277310924369747,0.8185654008438819,0.8312236286919831,0.8258400406576132,0.005337898505827993,15
1.0899718602498372,0.03775804376768409,0.18491021792093912,0.012197450297000225,6,350,"{'clf__max_depth': 6, 'clf__n_estimators': 350}",0.8277310924369747,0.810126582278481,0.8396624472573839,0.8258400406576133,0.012131883273346746,13
1.1712056795756023,0.06599497015912807,0.2013261318206787,0.01304416838480225,6,400,"{'clf__max_depth': 6, 'clf__n_estimators': 400}",0.8319327731092437,0.8143459915611815,0.8354430379746836,0.8272406008817029,0.00922979602530284,9
1.452427625656128,0.05839365826146367,0.19517008463541666,0.013243337424096632,6,450,"{'clf__max_depth': 6, 'clf__n_estimators': 450}",0.8319327731092437,0.8227848101265823,0.8396624472573839,0.8314600101644034,0.006898371178824935,4
0.3981904188791911,0.04209545828803897,0.1293164094289144,0.007550450085669632,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8403361344537815,0.810126582278481,0.8227848101265823,0.8244158422862816,0.012386806424243798,22
0.5265295505523682,0.04687725530868524,0.1607662041982015,0.020000554152829367,7,150,"{'clf__max_depth': 7, 'clf__n_estimators': 150}",0.8277310924369747,0.8185654008438819,0.8312236286919831,0.8258400406576132,0.005337898505827993,15
0.6927909056345621,0.07756048696278471,0.16251683235168457,0.006854999852600425,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.819327731092437,0.810126582278481,0.8312236286919831,0.8202259806876336,0.00863622143821469,27
0.8528661727905273,0.12649911102498787,0.14843098322550455,0.006302706080402807,7,250,"{'clf__max_depth': 7, 'clf__n_estimators': 250}",0.8319327731092437,0.7932489451476793,0.8354430379746836,0.8202082520772022,0.019116897629175286,32
0.9102524121602377,0.07250621513686291,0.15176900227864584,0.026559367935152668,7,300,"{'clf__max_depth': 7, 'clf__n_estimators': 300}",0.8319327731092437,0.8016877637130801,0.8227848101265823,0.8188017823163021,0.012664610304482474,35
1.0326621532440186,0.06701387772704663,0.12997587521870932,0.006891283578238341,7,350,"{'clf__max_depth': 7, 'clf__n_estimators': 350}",0.8277310924369747,0.8016877637130801,0.8312236286919831,0.8202141616140127,0.013177506510740039,30
1.1079306602478027,0.07160879096595714,0.11215297381083171,0.0005190243904621564,7,400,"{'clf__max_depth': 7, 'clf__n_estimators': 400}",0.8319327731092437,0.8016877637130801,0.8270042194092827,0.8202082520772023,0.013249629613125922,31
1.0604345003763835,0.018815774341854358,0.10979143778483073,0.0010943548235843314,7,450,"{'clf__max_depth': 7, 'clf__n_estimators': 450}",0.8277310924369747,0.8143459915611815,0.8312236286919831,0.8244335708967131,0.0072741045272995755,18
